Sample,UCG-002,DTU089,Candidatus_Soleaferrea,Roseburia,Negativibacillus,Agathobacter, Butyricimonas, Lachnospiraceae_FCS020_group, Asteroleplasma, Lachnospiraceae_ND3007_group,Eubacterium_ventriosum_group,Ruminococcus_torques_group,Herbinix,Collinsella,Moryella,UCG-005,Lachnospiraceae_UCG-004,Monoglobus,Bifidobacterium,Sutterella
PYM306,7.30412715232609,2.5408511909809,1.97146534769875,7.17471907614178,4.15341939568053,7.38379816068264,5.08839600211901,2.06303916870012,1.63221903621239,3.32650900754281,3.32650900754281,3.85277070146209,-1.2221507011132,4.20610319756845,2.29614742118411,6.05417221679968,4.69229064845292,3.80793875892258,5.69640712903697,-1.2221507011132
PYM308,5.68602139067548,0.597724778284942,2.49832092842125,5.70069142095315,2.83684686963464,4.80513467305533,3.70061443430902,-1.68900990530802,3.75302410515211,2.54211217869193,3.91744462392249,4.48780460281564,-1.68900990530802,3.6453053312942,1.82024635015524,5.49081158458721,2.6630358537172,3.89554735992885,5.8922722859893,2.49832092842125
PYM309,7.18846710214733,2.13594241625454,1.01492849224475,6.97822715896146,3.63255810656094,6.64080793427032,4.04956234608881,3.77311185936178,1.92202373446512,3.63255810656094,4.16989165080034,3.94480937186287,-1.15899947491612,3.87962377202478,2.6511887705584,6.36138959577459,4.20698561115739,4.68882203825688,5.20447917662225,3.20953073472758
PYM402,6.23469185107198,-1.06982409538817,1.97469834233525,6.23469185107198,4.03612137851241,5.78558470322176,3.77436299107042,-1.06982409538817,-1.06982409538817,2.69137602030539,2.78032350632189,5.36150698654531,-1.06982409538817,4.21337963334982,1.3280711774102,4.70161702774184,5.37112244524475,3.83545068305026,5.3994262214076,2.36416310909697
PYM406,7.27991915430022,1.67983288791855,2.19321957767044,6.45854750801463,2.82628563840457,6.37383604634147,4.058983802822,-1.12225571224394,2.4717809871723,2.78270998321807,3.50974463564338,3.94034931699372,-1.12225571224394,4.3390165665481,2.10950428838095,6.11139278998967,4.54232734180795,4.09559458537265,5.08942854880371,1.53574526976182
PYM407,5.3332611348586,1.7188104469261,2.57428700931513,5.96973801473963,2.04554053030209,6.74393785263871,3.70386467329428,0.85216472711371,3.78048037007653,2.44281404330338,4.41443528172589,2.69046611198172,-1.66458681999557,3.60636399406517,1.37657305642878,5.63235739614005,2.97493257995798,4.01011472604331,7.20828760243416,-1.66458681999557
PYM411,6.95546335867839,1.96054834618631,2.04405320401225,6.60938616481653,2.32202846338373,7.3988363504793,4.71537359382526,2.2594388572757,-1.20942917609842,3.7015208478268,4.76403649586397,3.86979047227951,-1.20942917609842,3.7015208478268,1.53228228368848,6.97705135101216,4.96855496357599,4.351905616761,5.6819651653641,2.38093029434303
PYM412,6.63826780503648,-1.10307589782263,1.24798004863049,7.05351170122693,2.358404251513,6.23456570063901,3.64150637172324,-1.10307589782263,-1.10307589782263,3.50921687833064,3.94241499557183,4.01606298344404,2.10541092504013,3.64150637172324,-1.10307589782263,5.41553459977355,5.04182995084712,4.28792501455286,5.51864285278898,2.91521026024576
PYM501,7.04073154828799,1.14031408624153,0.882037172378796,7.11748973170594,4.768556932238,6.93705894870634,4.4916858802265,2.17738759709141,-1.27292017623252,3.84065058084824,3.10682547587278,5.86356196221329,2.00139315530779,6.2246406979584,2.45710406130053,5.91289200636837,4.45099457011566,4.92495658655868,6.28879207816548,1.90022858499037
PYM503,6.85542114702451,1.8156595111661,1.16631278733112,6.7356427886867,3.79098558579548,6.14147343491075,3.92993708852068,-1.29047135922567,3.28429198249518,3.38862109258334,3.79098558579548,3.94424860697767,1.68850401446221,4.55312581310454,-1.29047135922567,6.35657208790029,4.36673799796864,4.2482270840206,5.99004911360017,2.6543933536668
PYM509,6.68666884875058,-1.09402269899159,2.66567028902732,7.10684863582804,3.24988176610446,5.75111333260308,3.86553992784637,-1.09402269899159,0.737262771746304,3.24988176610446,4.37355520798553,4.81387916384753,-1.09402269899159,3.56788792386009,1.86849753592307,5.22789953489277,5.27390971598451,3.56788792386009,5.54757475312821,2.88414477924844
PYM511,6.25177351649904,-1.14085902567336,1.55329469203442,7.60119154802298,3.23061590543492,6.10735097567815,3.13946434780423,-1.14085902567336,-1.14085902567336,2.7565675770569,3.72463191091422,3.98794302460574,4.50725704615614,3.82566838721771,2.21205767038091,5.63548278171519,4.34010721780635,4.15093504273131,6.28791692101751,-1.14085902567336
PYM513,7.09351541800099,2.24356719017631,1.70692167913502,6.83106135154586,3.73889090850997,7.77070025704638,3.76945208109999,2.59090422105864,3.55174018011124,3.92263997425754,4.35591613808102,5.69431897519604,-1.23079782204237,4.97322431611699,2.3732183769729,6.21349905665513,4.95958449284156,4.68169286496958,6.38587567633991,1.9194113940322
PYM604,6.34857262945847,-1.22415116976796,-1.22415116976796,6.77686594217237,2.34534617824986,5.69648399731234,4.49481201703253,-1.22415116976796,-1.22415116976796,3.62392910703936,3.65937194403497,3.67663315588365,-1.22415116976796,4.26681431752903,1.09820374349321,5.45062638825937,4.62225133734084,3.89140840521919,5.5179853382731,2.76294360990886
PYM605,6.12891805592302,-1.44804430432324,-1.44804430432324,7.4198279761135,1.46430073172519,5.19012479331651,3.78091706393915,-1.44804430432324,4.3732189313813,1.85148369114751,3.82648661198761,3.06170981029115,-1.44804430432324,3.79633879956025,-1.44804430432324,5.71999020879346,4.69398716201595,4.23518933730533,4.87073767168668,-1.44804430432324
PYM608,4.52992967404217,1.85554049413368,-1.67938308370224,7.30860185705608,3.40455723722258,6.52917486259548,3.8141988052569,2.28051312285519,3.9091349983057,2.80667532194929,3.28520352113483,3.38562817840106,1.66132911131119,2.87263966071744,-1.67938308370224,4.76236428746815,4.5890029859528,3.8862324662272,5.08868339674688,-1.67938308370224
PYM609,5.78125547740035,-0.888359421512979,3.5812913964358,7.42079348260885,2.56061425783546,7.01169348135976,5.70078146512613,-0.888359421512979,-0.888359421512979,2.47648764629738,2.04406271271541,6.67987677889643,-0.888359421512979,4.44271326347278,2.17091335626701,4.44271326347278,5.74517343369512,4.50233003543609,6.11043497601652,1.89875083200391
PYM614,6.31779050196643,-1.15406904344881,-1.15406904344881,6.51662782171358,1.57524220440849,6.74190197610501,4.61695259036295,-1.15406904344881,1.20188808799533,2.31265746885888,3.50965699733893,3.2251137455011,2.23521297114439,3.06304669226372,-1.15406904344881,4.62436448286627,4.56347164167131,4.36440229680763,5.67807581587782,3.28323766892055
PYM001,6.72253046324912,1.2751757116848,-1.08457695455204,6.83057728022,-1.08457695455204,5.72567287692741,5.03362750659855,2.98496238041084,3.29874560605838,3.48893044184146,3.43818024699516,5.26369762565761,-1.08457695455204,4.16439029399861,-1.08457695455204,5.43306097288765,4.43806981666143,3.3568724908661,5.35579315369167,0.672274618570619
PYM104,7.4491507961711,1.51380214467066,1.95331999771352,5.59990667060089,3.09560394573168,7.80824053079512,4.55213956944593,3.05704151483686,2.41878520204397,3.41644294889011,5.22103786552204,4.61201967545844,-1.01106782459575,6.27521802160324,1.05497975477852,6.77596195604309,2.41878520204397,3.41644294889011,7.68472648838267,2.93153856758606
PYM111,6.43770292107863,1.58181074447464,-1.15422554651741,6.43648920485599,-1.15422554651741,4.36178670844407,4.09772665596017,2.68912129846463,3.06997744050657,2.7871625029599,1.41237121549413,2.24200757968337,-1.15422554651741,2.24200757968337,2.63624346880087,5.58783983632222,4.22744815635382,2.99699475774162,5.77844297348188,2.3194700984593
PYM112,7.33560014345925,-1.13420911638012,-1.13420911638012,6.46905847240164,2.12969728509694,4.79399031437169,5.55072587671724,3.56617866762458,2.01668270352643,2.01668270352643,2.90694937139523,3.37033976969317,-1.13420911638012,5.69062848226882,2.68819046788895,6.17079956753717,5.01361791278681,3.87050445204703,6.90231235497879,3.16524913362323
PYM204,6.97923368229671,3.86552837481683,-1.28113143500985,6.36876519898018,4.40095911230016,6.66299255952832,4.37675018088761,0.800993987326773,-1.28113143500985,2.95115455661528,3.67067344360594,4.27359014607728,-1.28113143500985,5.05993483328406,1.26066737424397,6.12803679079095,4.21772387445269,3.99320823437426,5.92434595445347,1.9136565784732
PYM208,7.35855048341793,1.65577665511448,-1.19609066060015,7.02529417798019,3.44428687271658,6.84815263391919,3.76827700357511,2.9978031895249,-1.19609066060015,3.62874843976041,4.17683619111833,3.86147027684544,-1.19609066060015,4.28928088894844,1.13855184399895,6.28427892544135,4.48213550059528,4.94082722995866,4.98518500656623,3.18929316697739
PYM211,6.9703942095213,2.04062051887883,-1.1304347870095,6.9226888254347,2.1241291605608,5.80134614566403,4.54493794105936,-1.1304347870095,-1.1304347870095,3.01698893035943,3.2500447745887,2.6670647553772,-1.1304347870095,3.7816319691036,1.84923090829333,5.55952902846815,4.62690526128339,3.71860089077589,5.53072985211722,2.4610186768967
PYM303,7.28812575495388,-1.23295935224482,-1.23295935224482,6.90089708032525,4.79698114230666,6.20804329112786,5.24264096362864,2.58907674041039,2.78576073602903,3.67299276657026,4.24511310963327,2.11042985628627,-1.23295935224482,3.7609186457269,2.11042985628627,6.71571552812061,3.98607116281948,4.73538634879487,5.51548263518375,2.47402537026639
PYM310,7.70566042227488,2.54994324442336,-1.23239730892775,6.09180729394002,1.8793100475624,6.65442080223452,4.17764405129817,3.23164045547166,2.81644094097743,3.82117195049757,3.32026506057802,4.34308628144072,-1.23239730892775,4.60926047454673,-1.23239730892775,7.2366507715367,4.44908417086341,3.76841041893959,5.46928436618258,3.40167077763984
PYM311,6.8424835018844,-0.94377968492852,1.89100715215225,6.37898503445115,2.40522798689785,6.73091505788945,4.06565496337977,-0.94377968492852,-0.94377968492852,3.42369550861034,6.697396115403,4.27204204266718,-0.94377968492852,3.98616832405315,2.94967827785102,6.24489988183159,5.56623282141955,2.62132291763477,5.76072750111346,1.11910249186368
PYM403,6.78424621438064,-1.14549514425927,1.35080981728392,6.92948791927339,4.04301291344097,6.66158627020963,4.47121788304057,-1.14549514425927,0.893454731697069,3.6341169668355,2.93060607639622,4.71449148425178,-1.14549514425927,4.47121788304057,1.51930474749226,5.37389368414473,5.0779097749577,5.12954548720877,5.33709394950817,2.76663333275808
PYM404,7.81359897570521,-1.21344693819945,-1.21344693819945,6.56915882752843,3.49927643505944,5.72061178479146,4.52450115044738,2.41846533601887,-1.21344693819945,3.72450809904662,3.47965339738757,4.96318690060456,-1.21344693819945,5.03682529425226,1.99747980327131,6.38872317774415,4.68514101390181,4.86898287904201,5.06157268818912,3.43921292376447
PYM405,7.05979085047057,2.19645074206304,0.98758082514289,6.86690227180341,3.57804119592335,6.80681167106527,4.37163466093741,-1.14219786867535,0.98758082514289,3.92761222152904,4.00238020476997,4.0584135870323,-1.14219786867535,4.18613029293716,-1.14219786867535,5.82947231503518,5.15789107541401,4.94085923043989,6.18795041503918,0.98758082514289
PYM408,6.22434364837692,-1.66657080203796,-1.66657080203796,6.7732067941388,2.44801684036954,5.24413774653756,5.31524552296624,-1.66657080203796,3.70188789938506,2.7538068766645,4.20314693334574,4.83095289451617,1.93316753131525,3.42421649098707,2.25096905732164,5.84384441420283,3.52049817035419,4.28475506717398,5.58149451278815,2.72032005580609
